"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: request;ffmpeg-stream.js:69[33:39];Sink: request;ffmpeg-stream.js:77[69:75]::FLOW_DESCR_END","/ffmpeg-stream.js","69","33","69","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;ffmpeg-stream.js:144[22:25];Sink: data;ffmpeg-stream.js:159[41:44]::FLOW_DESCR_END","/ffmpeg-stream.js","144","22","144","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;ffmpeg-stream.js:195[35:38];Sink: `${data}`;ffmpeg-stream.js:196[19:27]::FLOW_DESCR_END","/ffmpeg-stream.js","195","35","195","38"
