FLOW_DESCR_START::Source: msg;wws-graphql.js:329[23:25];Sink: ""wwsGet ...  person;wws-graphql.js:305[21:90]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:329[23:25];Sink: ""wwsGet ...  person;wws-graphql.js:308[20:70]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","329","23","329","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-graphql.js:412[23:25];Sink: msg;wws-graphql.js:424[60:62]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:412[23:25];Sink: msg;wws-graphql.js:444[21:23]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:412[23:25];Sink: msg;wws-graphql.js:491[19:21]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","412","23","412","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: msg;wws-graphql.js:575[70:72]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: msg;wws-graphql.js:594[61:63]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: 'wwsFil ... ERWISE';wws-graphql.js:639[21:126]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: 'wwsFil ... nsList';wws-graphql.js:640[21:98]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: 'wwsFil ... nsList';wws-graphql.js:641[19:96]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: outArray;wws-graphql.js:651[19:26]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: 'wwsFil ... ng....';wws-graphql.js:663[21:120]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: msg;wws-graphql.js:681[63:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: ""wwsFil ...  + lens;wws-graphql.js:783[25:109]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: 'wwsFil ... ctionId;wws-graphql.js:785[24:93]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: msg;wws-graphql.js:785[96:98]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:559[23:25];Sink: msg;wws-graphql.js:793[83:85]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","559","23","559","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.dat ... ions[i];wws-graphql.js:765[39:69];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","765","39","765","69"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.dat ... tations;wws-graphql.js:765[39:66];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","765","39","765","66"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.data.message;wws-graphql.js:765[39:54];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","765","39","765","54"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-graphql.js:828[23:25];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:828[23:25];Sink: msg;wws-graphql.js:839[80:82]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:828[23:25];Sink: ""wwsFil ... cessed';wws-graphql.js:936[23:100]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:828[23:25];Sink: msg;wws-graphql.js:970[19:21]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","828","23","828","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-graphql.js:1009[23:25];Sink: msg;wws-graphql.js:1018[58:60]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1009[23:25];Sink: msg;wws-graphql.js:1053[19:21]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","1009","23","1009","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-graphql.js:1098[23:25];Sink: msg;wws-graphql.js:1110[65:67]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1098[23:25];Sink: msg;wws-graphql.js:1131[67:69]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1098[23:25];Sink: msg;wws-graphql.js:1183[25:27]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1098[23:25];Sink: msg;wws-graphql.js:1203[25:27]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","1098","23","1098","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: msg;wws-graphql.js:1267[55:57]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: msg;wws-graphql.js:1381[19:21]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: 'wwsUpd ... known!';wws-graphql.js:1434[27:80]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: 'wwsUpd ... known!';wws-graphql.js:1436[26:79]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: msg;wws-graphql.js:1436[82:84]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: 'wwsUpd ... ].value;wws-graphql.js:1450[27:131]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: 'wwsUpd ... ].value;wws-graphql.js:1452[26:130]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: msg;wws-graphql.js:1452[133:135]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: 'wwsUpd ... spaceId;wws-graphql.js:1514[27:90]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: msg;wws-graphql.js:1547[104:106]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1255[23:25];Sink: msg;wws-graphql.js:1550[23:25]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","1255","23","1255","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.dat ... ateInfo;wws-graphql.js:1416[30:56];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END
FLOW_DESCR_START::Source: res.dat ... ateInfo;wws-graphql.js:1416[30:56];Sink: 'wwsUpd ... known!';wws-graphql.js:1434[27:80]::FLOW_DESCR_END
FLOW_DESCR_START::Source: res.dat ... ateInfo;wws-graphql.js:1416[30:56];Sink: 'wwsUpd ... known!';wws-graphql.js:1436[26:79]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","1416","30","1416","56"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.data.space;wws-graphql.js:1416[30:43];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END
FLOW_DESCR_START::Source: res.data.space;wws-graphql.js:1416[30:43];Sink: 'wwsUpd ... known!';wws-graphql.js:1434[27:80]::FLOW_DESCR_END
FLOW_DESCR_START::Source: res.data.space;wws-graphql.js:1416[30:43];Sink: 'wwsUpd ... known!';wws-graphql.js:1436[26:79]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","1416","30","1416","43"
