"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;myscada-write-tag.js:57[27:29];Sink: data;utils.js:51[27:30]::FLOW_DESCR_END","/myscada-write-tag.js","57","27","57","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: d;utils.js:28[36:36];Sink: ""Cannot ... ror:""+o;myscada-remote-server.js:20[29:69]::FLOW_DESCR_END","/utils.js","28","36","28","36"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;utils.js:46[31:35];Sink: ""Cannot ... ror:""+o;myscada-remote-server.js:20[29:69]::FLOW_DESCR_END","/utils.js","46","31","46","35"
