"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;device-fan.js:49[32:34];Sink: config;device-fan.js:29[29:34]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;device-fan.js:49[32:34];Sink: msg;device-fan.js:50[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;device-fan.js:49[32:34];Sink: msg;device-fan.js:67[29:31]::FLOW_DESCR_END","/src/device-fan/device-fan.js","49","32","49","34"
