FLOW_DESCR_START::Source: fs.read ... cePath);test.js:23[34:60];Sink: path.jo ... de.js');nodegen.js:227[30:72]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:23[34:60];Sink: path.jo ... .html');nodegen.js:232[30:74]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:23[34:60];Sink: path.jo ... ec.js');nodegen.js:237[30:82]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:23[34:60];Sink: path.jo ... ME.md');nodegen.js:242[30:74]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:23[34:60];Sink: path.jo ... CENSE');nodegen.js:247[30:72]::FLOW_DESCR_END","/test.js","23","34","23","60"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: outputPath;nodegen.js:43[46:55]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: outputPath;nodegen.js:45[79:88]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: path.jo ... , icon);nodegen.js:60[34:80]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: path.jo ... s.yml');nodegen.js:99[26:72]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: path.jo ... .json');nodegen.js:219[30:77]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: path.jo ... de.js');nodegen.js:227[30:72]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: path.jo ... .html');nodegen.js:232[30:74]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: path.jo ... ec.js');nodegen.js:237[30:82]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: path.jo ... ME.md');nodegen.js:242[30:74]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ... cePath);test.js:30[23:49];Sink: path.jo ... CENSE');nodegen.js:247[30:72]::FLOW_DESCR_END","/test.js","30","23","30","49"
