"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: topic;liberiot.js:30[31:35];Sink: config. ... mqttSub;liberiot.js:32[25:76]::FLOW_DESCR_END","/liberiot.js","30","31","30","35"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: message;liberiot.js:43[36:42];Sink: config. ... payload;liberiot.js:44[25:62]::FLOW_DESCR_END
FLOW_DESCR_START::Source: message;liberiot.js:43[36:42];Sink: config. ... payload;liberiot.js:45[33:70]::FLOW_DESCR_END","/liberiot.js","43","36","43","42"
