"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;exportWAVFile.js:15[36:38];Sink: crateFileName;exportWAVFile.js:33[26:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;exportWAVFile.js:15[36:38];Sink: msg;exportWAVFile.js:34[33:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;exportWAVFile.js:15[36:38];Sink: msg;exportWAVFile.js:38[23:25]::FLOW_DESCR_END","/nodes/exportWAVFile.js","15","36","15","38"
