"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: mpayload;wechat.js:15[99:106];Sink: payload;wechat.js:17[29:35]::FLOW_DESCR_END","/wechat/wechat.js","15","99","15","106"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: extra_data.data[0];wechat.js:52[51:68];Sink: url;HomeAssistant.js:35[41:43]::FLOW_DESCR_END
FLOW_DESCR_START::Source: extra_data.data[0];wechat.js:52[51:68];Sink: entity_id;wechat.js:72[45:53]::FLOW_DESCR_END","/wechat/wechat.js","52","51","52","68"
