"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: e;thingspeak42.js:69[36:36];Sink: ""Error  ... : "" + e;thingspeak42.js:70[28:62]::FLOW_DESCR_END","/thingspeak42/thingspeak42.js","69","36","69","36"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.cr ... .apiKey;thingspeak42.js:77[60:82];Sink: ""Postin ... XXXXX"");thingspeak42.js:61[22:99]::FLOW_DESCR_END
FLOW_DESCR_START::Source: node.cr ... .apiKey;thingspeak42.js:77[60:82];Sink: url;thingspeak42.js:62[23:25]::FLOW_DESCR_END","/thingspeak42/thingspeak42.js","77","60","77","82"
