"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: light;lifx.js:31[42:46];Sink: 'New bu ... (""hex"");lifx.js:33[26:86]::FLOW_DESCR_END","/lifx/lifx.js","31","42","31","46"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;lifx.js:81[36:38];Sink: ""Poweri ... + ""..."";lifx.js:52[30:76]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;lifx.js:81[36:38];Sink: ""Settin ... params);lifx.js:62[30:71]::FLOW_DESCR_END","/lifx/lifx.js","81","36","81","38"
