"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;nextcloud-info.js:18[13:17];Sink: err;nextcloud-info.js:83[19:21]::FLOW_DESCR_END","/nextcloud-info.js","18","13","18","17"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;nextcloud-info.js:18[30:33];Sink: err;nextcloud-info.js:83[19:21]::FLOW_DESCR_END","/nextcloud-info.js","18","30","18","33"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;nextcloud-info.js:51[29:31];Sink: msg;nextcloud-info.js:64[65:67]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;nextcloud-info.js:51[29:31];Sink: msg;nextcloud-info.js:70[60:62]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;nextcloud-info.js:51[29:31];Sink: msg;nextcloud-info.js:83[23:25]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;nextcloud-info.js:51[29:31];Sink: msg;nextcloud-info.js:87[18:20]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;nextcloud-info.js:51[29:31];Sink: msg;nextcloud-info.js:94[64:66]::FLOW_DESCR_END","/nextcloud-info.js","51","29","51","31"
