"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: this.cr ... .secret;owntracks.js:24[22:44];Sink: secret;owntracks.js:43[35:40]::FLOW_DESCR_END","/owntracks.js","24","22","24","44"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;owntracks.js:26[34:36];Sink: msg;owntracks.js:59[35:37]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;owntracks.js:26[34:36];Sink: msg;owntracks.js:73[23:25]::FLOW_DESCR_END","/owntracks.js","26","34","26","36"
