"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;met-ie.js:20[36:38];Sink: msg;met-ie.js:85[30:32]::FLOW_DESCR_END","/met-ie.js","20","36","20","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;met-ie.js:92[29:31];Sink: text;met-ie.js:23[73:76]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;met-ie.js:92[29:31];Sink: err.message;met-ie.js:100[20:30]::FLOW_DESCR_END","/met-ie.js","92","29","92","31"
