"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: datagram.data[11];pcap-tester.js:28[22:38];Sink: `type=$ ... a[11]}`;pcap-tester.js:28[14:40]::FLOW_DESCR_END","/test/pcap-tester.js","28","22","28","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wsjt-x-decode.js:21[29:31];Sink: msg;wsjt-x-decode.js:27[10:12]::FLOW_DESCR_END","/wsjt-x-decode.js","21","29","21","31"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wsjt-x-encode.js:25[29:31];Sink: msg;wsjt-x-encode.js:48[10:12]::FLOW_DESCR_END","/wsjt-x-encode.js","25","29","25","31"
