"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;base.node.js:38[23:25];Sink: { paylo ... .rest };base.node.js:54[16:41]::FLOW_DESCR_END","/src/common/base.node.js","38","23","38","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data.status;freebox-server.js:140[71:81];Sink: `Regist ... ntials`;freebox-server.js:140[29:105]::FLOW_DESCR_END","/src/nodes/freebox-server/freebox-server.js","140","71","140","81"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data?.result;freebox-server.js:260[29:40];Sink: `Regist ... ntials`;freebox-server.js:140[29:105]::FLOW_DESCR_END","/src/nodes/freebox-server/freebox-server.js","260","29","260","40"
