"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: done;sf-connection-emitter.js:105[28:31];Sink: done;sf-connection-emitter.js:106[27:30]::FLOW_DESCR_END","/nodes/connection/sf-connection-emitter.js","105","28","105","31"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: this.host;sf-connection-emitter.js:144[18:26];Sink: `SfConn ... name}]`;sf-connection-emitter.js:170[23:109]::FLOW_DESCR_END","/nodes/connection/sf-connection-emitter.js","144","18","144","26"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: this.username;sf-connection-emitter.js:170[94:106];Sink: `SfConn ... name}]`;sf-connection-emitter.js:170[23:109]::FLOW_DESCR_END","/nodes/connection/sf-connection-emitter.js","170","94","170","106"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;sf-universal-describe.js:50[30:32];Sink: msg;sf-universal-describe.js:53[24:26]::FLOW_DESCR_END","/nodes/describe/sf-universal-describe.js","50","30","50","32"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;sf-universal-describe.js:116[35:37];Sink: msg;AbstractDescribeProcessor.js:69[27:29]::FLOW_DESCR_END","/nodes/describe/sf-universal-describe.js","116","35","116","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;sf-universal-http.js:50[35:37];Sink: msg;sf-universal-http.js:67[31:33]::FLOW_DESCR_END","/nodes/http/sf-universal-http.js","50","35","50","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;sf-platform-event-pub.js:38[35:37];Sink: msg;sf-platform-event-pub.js:53[33:35]::FLOW_DESCR_END","/nodes/platformEvents/sf-platform-event-pub.js","38","35","38","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;sf-universal-query.js:47[30:32];Sink: msg;sf-universal-query.js:50[24:26]::FLOW_DESCR_END","/nodes/query/sf-universal-query.js","47","30","47","32"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;sf-universal-query.js:79[35:37];Sink: msg;AbstractQueryProcessor.js:64[27:29]::FLOW_DESCR_END","/nodes/query/sf-universal-query.js","79","35","79","37"
